campaign_id,campaign_name,start_date,end_date,budget,channel
CMP001,New Year Blast,2023-08-08,2023-08-10,1195999,Email
CMP002,Summer Sale,2023-11-11,2024-12-21,730144,Social Media
CMP003,Year End Sale,2024-06-28,2024-12-26,1176859,Google Ads
CMP004,Monsoon Offer,2024-07-04,2024-12-03,719180,Email
CMP005,Home Essentials,2023-03-04,2023-05-31,311177,Email
CMP006,Festival Bonanza,2023-04-13,2024-08-27,750604,Social Media
CMP007,Year End Sale,2024-11-29,2024-12-29,342225,TV
CMP008,Flash Sale,2024-07-14,2024-10-24,764994,Social Media
CMP009,Fashion Week,2024-11-30,2024-12-28,1119965,Email
CMP010,Year End Sale,2024-05-04,2024-11-11,622884,Google Ads
CMP011,Electronics Fest,2023-09-01,2024-12-25,583444,TV
CMP012,Festival Bonanza,2024-08-05,2024-11-03,584551,Social Media
CMP013,Independence Day Sale,2023-03-18,2023-06-16,745674,TV
CMP014,Clearance Sale,2024-07-21,2024-11-29,264828,TV
CMP015,Clearance Sale,2024-09-09,2024-10-09,523603,Social Media
CMP016,Clearance Sale,2024-03-11,2024-12-28,1147369,Google Ads
CMP017,Clearance Sale,2023-02-16,2023-12-19,729285,Email
CMP018,Clearance Sale,2023-04-24,2023-06-20,258470,Email
CMP019,Year End Sale,2023-02-13,2024-02-01,808079,Google Ads
CMP020,Year End Sale,2023-08-19,2024-05-11,949325,TV
CMP021,Home Essentials,2023-01-12,2024-02-09,507831,Google Ads
CMP022,New Year Blast,2024-12-17,2024-12-22,552546,TV
CMP023,New Year Blast,2024-06-29,2024-12-03,266988,Social Media
CMP024,Flash Sale,2024-05-16,2024-09-28,1020390,TV
CMP025,Electronics Fest,2023-08-18,2024-08-07,254746,Email
CMP026,Fashion Week,2024-02-28,2024-12-01,151162,Email
CMP027,Republic Day Offer,2024-04-24,2024-05-13,1117233,TV
CMP028,Festival Bonanza,2023-08-03,2024-12-08,985403,Email
CMP029,Diwali Sale,2023-04-28,2024-11-08,122856,Google Ads
CMP030,Flash Sale,2024-09-22,2024-11-12,383988,TV
